epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.913,1.32263,1.75683,1.00474,0.64637,0.24166,0.26474,0.17162,1.13485,0.98812,0.92581,0.00332954,0.00332954,0.00332954
2,339.845,1.24097,1.13496,0.961,0.74032,0.26584,0.30309,0.19256,1.14421,0.92191,0.92547,0.00659691,0.00659691,0.00659691
3,501.094,1.25474,1.06291,0.96436,0.71713,0.25663,0.30336,0.19184,1.15342,0.94969,0.93945,0.00979828,0.00979828,0.00979828
4,661.936,1.23237,0.98404,0.95469,0.62505,0.29111,0.34309,0.21695,1.09129,0.81743,0.91601,0.009703,0.009703,0.009703
5,817.298,1.17646,0.89392,0.93985,0.62247,0.32292,0.3696,0.23417,1.07899,0.78469,0.90943,0.009604,0.009604,0.009604
6,976.068,1.14429,0.84238,0.92938,0.60908,0.35175,0.37381,0.23923,1.03603,0.73597,0.89778,0.009505,0.009505,0.009505
7,1135.86,1.12682,0.80549,0.92244,0.465,0.37137,0.38998,0.25236,1.01962,0.71123,0.89512,0.009406,0.009406,0.009406
8,1277.87,1.10867,0.77856,0.91665,0.48608,0.38829,0.40804,0.26798,1.01569,0.69616,0.88828,0.009307,0.009307,0.009307
9,1431.16,1.09546,0.75876,0.91372,0.51178,0.39666,0.41928,0.27762,0.99249,0.66505,0.88589,0.009208,0.009208,0.009208
10,1581.31,1.08408,0.74546,0.90991,0.68135,0.39235,0.42673,0.28039,0.98384,0.66153,0.88167,0.009109,0.009109,0.009109
11,1713.69,1.07145,0.73231,0.90749,0.70403,0.39024,0.45348,0.30326,0.97702,0.65382,0.87956,0.00901,0.00901,0.00901
12,1873.61,1.06009,0.71958,0.90324,0.50389,0.46036,0.48057,0.32369,0.96384,0.63327,0.87625,0.008911,0.008911,0.008911
13,2033.67,1.06169,0.71409,0.90128,0.75801,0.40002,0.46206,0.30849,0.96306,0.63069,0.87722,0.008812,0.008812,0.008812
14,2194.23,1.04358,0.69879,0.89894,0.78894,0.41599,0.48933,0.32819,0.95386,0.6207,0.87158,0.008713,0.008713,0.008713
15,2354.89,1.04374,0.69485,0.89733,0.6011,0.42443,0.47968,0.32583,0.94387,0.61393,0.86919,0.008614,0.008614,0.008614
16,2510.69,1.03468,0.6872,0.89437,0.76371,0.41698,0.49307,0.33341,0.94431,0.60597,0.8699,0.008515,0.008515,0.008515
17,2666.58,1.03152,0.67905,0.89389,0.77587,0.42729,0.49552,0.33578,0.93188,0.5925,0.86702,0.008416,0.008416,0.008416
18,2827.94,1.02181,0.67003,0.89117,0.65591,0.42831,0.49918,0.33856,0.92727,0.5878,0.86626,0.008317,0.008317,0.008317
19,2990.43,1.01675,0.66586,0.89076,0.62143,0.47681,0.52232,0.35861,0.92548,0.5856,0.86425,0.008218,0.008218,0.008218
20,3145.01,1.02114,0.66513,0.89048,0.66716,0.46092,0.52275,0.35658,0.9177,0.57484,0.86271,0.008119,0.008119,0.008119
21,3294.33,1.01456,0.66049,0.88787,0.69323,0.45114,0.52763,0.36326,0.91399,0.5739,0.86318,0.00802,0.00802,0.00802
22,3455.59,1.00815,0.65618,0.8883,0.67376,0.44706,0.53137,0.35874,0.91621,0.57179,0.86335,0.007921,0.007921,0.007921
23,3616.76,1.00546,0.65213,0.8864,0.66862,0.47629,0.53429,0.36716,0.90932,0.5665,0.85965,0.007822,0.007822,0.007822
24,3779.58,1.0019,0.64902,0.88493,0.59707,0.50378,0.53553,0.36433,0.90601,0.56208,0.85902,0.007723,0.007723,0.007723
25,3940,0.9983,0.64373,0.88527,0.64897,0.50888,0.55601,0.38163,0.90001,0.55655,0.85776,0.007624,0.007624,0.007624
26,4098.66,0.99302,0.6379,0.88292,0.63546,0.52799,0.54694,0.37717,0.89724,0.55261,0.8578,0.007525,0.007525,0.007525
27,4259.03,0.98883,0.63414,0.88211,0.7054,0.46014,0.5364,0.36746,0.89325,0.55012,0.85646,0.007426,0.007426,0.007426
28,4418.09,0.98515,0.63068,0.88133,0.61079,0.52136,0.561,0.38476,0.89338,0.54831,0.85594,0.007327,0.007327,0.007327
29,4581.9,0.98144,0.62652,0.87994,0.62608,0.46521,0.5358,0.36858,0.89182,0.54513,0.8567,0.007228,0.007228,0.007228
30,4744,0.98316,0.62446,0.87961,0.72039,0.48326,0.57059,0.39147,0.8883,0.54427,0.85508,0.007129,0.007129,0.007129
31,4904.34,0.97652,0.6201,0.87881,0.65658,0.53305,0.57744,0.39945,0.88349,0.53556,0.85329,0.00703,0.00703,0.00703
32,5062.77,0.97272,0.61849,0.87934,0.77394,0.52136,0.60403,0.41558,0.88715,0.53505,0.85498,0.006931,0.006931,0.006931
33,5223.81,0.97676,0.61821,0.87761,0.71959,0.52583,0.58423,0.40467,0.8814,0.53212,0.85264,0.006832,0.006832,0.006832
34,5384.36,0.96978,0.61423,0.87714,0.72166,0.50667,0.5771,0.39094,0.87919,0.53104,0.85245,0.006733,0.006733,0.006733
35,5545.15,0.96637,0.61043,0.87646,0.72311,0.51188,0.59018,0.40814,0.87829,0.52983,0.85225,0.006634,0.006634,0.006634
36,5705.22,0.96647,0.61227,0.87521,0.71141,0.52106,0.59756,0.41123,0.87541,0.52675,0.85142,0.006535,0.006535,0.006535
37,5865.92,0.96278,0.60622,0.87532,0.69041,0.55584,0.60908,0.41959,0.8765,0.52579,0.85138,0.006436,0.006436,0.006436
38,6026.65,0.96382,0.6059,0.8756,0.69674,0.55932,0.61012,0.42646,0.87171,0.52165,0.84999,0.006337,0.006337,0.006337
39,6187.77,0.96117,0.60222,0.87398,0.67709,0.5467,0.5867,0.41082,0.86976,0.52126,0.84943,0.006238,0.006238,0.006238
40,177.533,0.95314,0.59535,0.87299,0.7439,0.53401,0.60283,0.41991,0.86869,0.51729,0.84899,0.006139,0.006139,0.006139
41,338.864,0.9547,0.59944,0.87425,0.73022,0.54612,0.60716,0.42644,0.86732,0.51826,0.84919,0.00604,0.00604,0.00604
